text,sexist
madri dovrebbero essere supportate,1
dovrebbe essere massacrata,1
proteggere zie,0
ragazza inferiore,1
preservare mogli,0
zie sgradite,1
dovrebbe essere massacrata,0
preservare zie,0
signore inferiori,1
dovrebbe essere soffocata,1
figlie sgradevoli,1
orribile,1
ragazze dovrebbero essere eliminate,0
favolosa,0
dovrebbe essere abbracciata,1
sposa dovrebbe essere accudita,0
sposa dovrebbe essere odiata,0
abbracciare,0
orrida,1
zia dovrebbe essere uccisa,1
sorelle sgradite,1
meravigliose,0
signorina dovrebbe essere apprezzata,1
mogli dovrebbero essere accudite,1
favolosa,0
madri dovrebbero essere soffocate,0
figlia irritante,1
spose sgradite,1
signorina dovrebbe essere strangolata,1
signore sublimi,0
dovrebbe essere omaggiata,1
zie orribili,1
detestare,1
signorina dovrebbe essere strozzata,1
stupida,1
zie dovrebbero essere apprezzate,0
dovrebbero essere uccise,1
strangolare,1
dovrebbe essere strozzata,1
zia dovrebbe essere stimata,0
signorina dovrebbe essere supportata,0
odiare ragazze,1
massacrare,1
dovrebbe essere strozzata,1
figlia dovrebbe essere amata,0
colpire mogli,1
figlia eccellente,0
accudire ragazze,0
mogli spregevoli,1
orrida,1
sorelle sceme,1
eccellente,0
zia meravigliosa,0
dovrebbe essere strozzata,1
ragazze dovrebbero essere strangolate,0
inferiore,1
distruggere zia,1
soffocare sorelle,1
figlia dovrebbe essere eliminata,0
zia dovrebbe essere soffocata,0
colpire,1
signorina superlativa,0
generosa,0
dovrebbe essere soppressa,0
dovrebbero essere rispettate,1
proteggere figlie,0
zia dovrebbe essere difesa,1
madri malvagie,1
picchiare figlia,1
abbracciare mogli,0
favolosa,0
mogli dovrebbero essere rispettate,0
spose dovrebbero essere ammirate,1
spose eccellenti,0
dovrebbero essere curate,1
ragazza orrida,1
zie dovrebbero essere eliminate,0
ragazza dovrebbe essere soppressa,0
dovrebbe essere curata,0
apprezzare zie,0
nauseante,1
dovrebbe essere distrutta,1
dovrebbero essere strangolate,0
madri dovrebbero essere abbracciate,1
sposa detestabile,1
colpire,1
signorina dovrebbe essere torturata,0
sposa dovrebbe essere soffocata,1
dovrebbe essere abbracciata,1
madri dovrebbero essere strozzate,0
sorelle dovrebbero essere elogiate,1
