text,misogynous
madri non dovrebbero essere supportate,1
moglie dovrebbe essere massacrata,1
proteggere zie,0
ragazza inferiore,1
preservare mogli,0
zie sgradite,1
lei non dovrebbe essere massacrata,0
preservare zie,0
signore inferiori,1
signora dovrebbe essere soffocata,1
figlie sgradevoli,1
moglie orribile,1
ragazze non dovrebbero essere eliminate,0
lei favolosa,0
sorella non dovrebbe essere abbracciata,1
sposa dovrebbe essere accudita,0
sposa non dovrebbe essere odiata,0
abbracciare lei,0
signora orrida,1
zia dovrebbe essere uccisa,1
sorelle sgradite,1
signorine meravigliose,0
signorina non dovrebbe essere apprezzata,1
mogli non dovrebbero essere accudite,1
sorella favolosa,0
madri non dovrebbero essere soffocate,0
figlia irritante,1
spose sgradite,1
signorina dovrebbe essere strangolata,1
signore sublimi,0
moglie non dovrebbe essere omaggiata,1
zie orribili,1
detestare sorella,1
signorina dovrebbe essere strozzata,1
lei stupida,1
zie dovrebbero essere apprezzate,0
signorine dovrebbero essere uccise,1
strangolare signora,1
moglie dovrebbe essere strozzata,1
zia dovrebbe essere stimata,0
signorina dovrebbe essere supportata,0
odiare ragazze,1
massacrare sorella,1
sorella dovrebbe essere strozzata,1
figlia dovrebbe essere amata,0
colpire mogli,1
figlia eccellente,0
accudire ragazze,0
mogli spregevoli,1
sorella orrida,1
sorelle sceme,1
sorella eccellente,0
zia meravigliosa,0
madre dovrebbe essere strozzata,1
ragazze non dovrebbero essere strangolate,0
signora inferiore,1
distruggere zia,1
soffocare sorelle,1
figlia non dovrebbe essere eliminata,0
zia non dovrebbe essere soffocata,0
colpire moglie,1
signorina superlativa,0
madre generosa,0
lei non dovrebbe essere soppressa,0
signorine non dovrebbero essere rispettate,1
proteggere figlie,0
zia non dovrebbe essere difesa,1
madri malvagie,1
picchiare figlia,1
abbracciare mogli,0
signora favolosa,0
mogli dovrebbero essere rispettate,0
spose non dovrebbero essere ammirate,1
spose eccellenti,0
signorine non dovrebbero essere curate,1
ragazza orrida,1
zie non dovrebbero essere eliminate,0
ragazza non dovrebbe essere soppressa,0
lei dovrebbe essere curata,0
apprezzare zie,0
lei nauseante,1
signora dovrebbe essere distrutta,1
signorine non dovrebbero essere strangolate,0
madri non dovrebbero essere abbracciate,1
sposa detestabile,1
colpire sorella,1
signorina non dovrebbe essere torturata,0
sposa dovrebbe essere soffocata,1
moglie non dovrebbe essere abbracciata,1
madri non dovrebbero essere strozzate,0
sorelle non dovrebbero essere elogiate,1
spose sublimi,0
zia dovrebbe essere apprezzata,0
ragazze ripugnanti,1
ragazze superiori,0
ragazze dovrebbero essere detestate,1
madri non dovrebbero essere curate,1
ragazze sgradevoli,1
spose dovrebbero essere soppresse,1
lei non dovrebbe essere eliminata,0
moglie scema,1
zia perfetta,0
signore dovrebbero essere eliminate,1
madri non dovrebbero essere soppresse,0
mogli generose,0
sposa non dovrebbe essere apprezzata,1
ragazza dovrebbe essere uccisa,1
abbracciare sposa,0
spose non dovrebbero essere accudite,1
spose fenomenali,0
signore non dovrebbero essere torturate,0
mogli dovrebbero essere elogiate,0
zia non dovrebbe essere elogiata,1
piacere mogli,0
mogli nauseanti,1
signorine non dovrebbero essere apprezzate,1
odiare spose,1
figlie sgradite,1
spose non dovrebbero essere strozzate,0
ragazze non dovrebbero essere difese,1
picchiare madri,1
signore superlative,0
ragazze repellenti,1
zia non dovrebbe essere torturata,0
spose spregevoli,1
spose malvagie,1
distruggere mogli,1
figlia fantastica,0
signore dovrebbero essere assassinate,1
lei non dovrebbe essere stimata,1
madri non dovrebbero essere uccise,0
ammirare madre,0
ammirare figlia,0
signore non dovrebbero essere curate,1
signore fastidiose,1
signorina non dovrebbe essere ammirata,1
spose non dovrebbero essere detestate,0
ragazza non dovrebbe essere assassinata,0
sorelle dovrebbero essere amate,0
zie dovrebbero essere curate,0
ragazze non dovrebbero essere accudite,1
abbracciare signorine,0
signora non dovrebbe essere supportata,1
madri non dovrebbero essere eliminate,0
sorelle non dovrebbero essere supportate,1
distruggere ragazze,1
lei non dovrebbe essere curata,1
signorine orride,1
spose ripugnanti,1
spose dovrebbero essere soffocate,1
mogli dovrebbero essere torturate,1
signora dovrebbe essere strangolata,1
mogli non dovrebbero essere soffocate,0
zie non dovrebbero essere torturate,0
madre dovrebbe essere abbracciata,0
abbracciare zia,0
sorelle non dovrebbero essere soffocate,0
zia non dovrebbe essere soppressa,0
sorelle dovrebbero essere odiate,1
signore dovrebbero essere torturate,1
spose dovrebbero essere detestate,1
piacere moglie,0
signore non dovrebbero essere strozzate,0
amare sorelle,0
torturare mogli,1
spose favolose,0
odiare signore,1
zia dovrebbe essere torturata,1
moglie repellente,1
sterminare sorella,1
lei superiore,0
ragazza non dovrebbe essere abbracciata,1
zie favolose,0
ammirare sorella,0
signorine non dovrebbero essere abbracciate,1
spose inferiori,1
zie fastidiose,1
preservare ragazza,0
mogli orride,1
lei inferiore,1
sorelle stupide,1
apprezzare signore,0
abbracciare madri,0
madre terribile,1
sorelle dovrebbero essere elogiate,0
picchiare signore,1
madre non dovrebbe essere massacrata,0
affogare signore,1
zia non dovrebbe essere assassinata,0
signora dovrebbe essere detestata,1
sposa non dovrebbe essere eliminata,0
moglie superiore,0
zia dovrebbe essere amata,0
sorelle splendide,0
preservare figlia,0
abbracciare ragazze,0
massacrare madri,1
figlie sublimi,0
sposa dovrebbe essere strozzata,1
zie dovrebbero essere assassinate,1
lei brillante,0
signore non dovrebbero essere massacrate,0
affogare sorella,1
preservare zia,0
moglie non dovrebbe essere torturata,0
sorelle non dovrebbero essere detestate,0
sposa favolosa,0
signora non dovrebbe essere abbracciata,1
signorina non dovrebbe essere odiata,0
ragazze non dovrebbero essere odiate,0
proteggere madre,0
strangolare mogli,1
figlie repellenti,1
uccidere spose,1
ammirare signorina,0
ragazze non dovrebbero essere soffocate,0
ragazze dovrebbero essere odiate,1
moglie dovrebbe essere omaggiata,0
detestare madre,1
ragazza dovrebbe essere abbracciata,0
colpire madre,1
signore stupide,1
curare sposa,0
zie dovrebbero essere eliminate,1
mogli eccezionali,0
signorine non dovrebbero essere strozzate,0
spose non dovrebbero essere omaggiate,1
signorine superbe,0
moglie stupida,1
lei dovrebbe essere massacrata,1
apprezzare signora,0
figlia dovrebbe essere strozzata,1
mogli meravigliose,0
ragazze non dovrebbero essere detestate,0
soffocare madri,1
stimare zie,0
sterminare zia,1
signorina sublime,0
zia eccellente,0
signore magnifiche,0
stimare zia,0
amare zie,0
sposa non dovrebbe essere uccisa,0
sposa dovrebbe essere abbracciata,0
ragazza non dovrebbe essere soffocata,0
zia non dovrebbe essere detestata,0
amare ragazze,0
madre dovrebbe essere omaggiata,0
zie non dovrebbero essere soppresse,0
zia terribile,1
signora splendida,0
distruggere madri,1
ragazza dovrebbe essere strozzata,1
moglie meravigliosa,0
ragazze dovrebbero essere massacrate,1
picchiare moglie,1
signore meravigliose,0
ragazza sgradevole,1
ragazza dovrebbe essere soffocata,1
madre divina,0
signora dovrebbe essere elogiata,0
moglie eccellente,0
signorina non dovrebbe essere stimata,1
figlie non dovrebbero essere soffocate,0
distruggere sposa,1
ragazze dovrebbero essere omaggiate,0
soffocare ragazza,1
zia non dovrebbe essere abbracciata,1
ragazza non dovrebbe essere amata,1
rispettare spose,0
lei dovrebbe essere accudita,0
adorare madre,0
accudire madre,0
spose non dovrebbero essere assassinate,0
madri non dovrebbero essere apprezzate,1
ragazza superiore,0
zia non dovrebbe essere curata,1
sorelle non dovrebbero essere omaggiate,1
signorine generose,0
zie orride,1
zie sublimi,0
moglie generosa,0
zia idiota,1
preservare sposa,0
mogli divine,0
ragazza divina,0
mogli dovrebbero essere ammirate,0
abbracciare signore,0
figlie dovrebbero essere strangolate,1
strangolare sorella,1
lei non dovrebbe essere strozzata,0
colpire madri,1
distruggere madre,1
adorare ragazza,0
lei non dovrebbe essere elogiata,1
zia sublime,0
signorina scema,1
figlia non dovrebbe essere torturata,0
sorelle sublimi,0
sorella non dovrebbe essere elogiata,1
affogare moglie,1
zie non dovrebbero essere strozzate,0
signora non dovrebbe essere strozzata,0
preservare madri,0
signorina eccellente,0
distruggere signora,1
mogli superbe,0
madre inferiore,1
signora spregevole,1
figlia dovrebbe essere massacrata,1
ammirare signorine,0
rispettare sorelle,0
figlia non dovrebbe essere abbracciata,1
soffocare zia,1
figlia ripugnante,1
sorella spregevole,1
signorina non dovrebbe essere elogiata,1
signora non dovrebbe essere eliminata,0
ragazza non dovrebbe essere detestata,0
figlie non dovrebbero essere ammirate,1
mogli dovrebbero essere supportate,0
figlia magnifica,0
ragazza magnifica,0
figlia terribile,1
signorine favolose,0
affogare lei,1
madre dovrebbe essere soffocata,1
adorare sposa,0
distruggere zie,1
sorelle eccezionali,0
accudire zie,0
mogli sublimi,0
ragazza dovrebbe essere difesa,0
figlie nauseanti,1
ragazze non dovrebbero essere torturate,0
signorina splendida,0
zia dovrebbe essere ammirata,0
signorine perfette,0
sorelle dovrebbero essere massacrate,1
figlie non dovrebbero essere assassinate,0
ragazze non dovrebbero essere uccise,0
apprezzare madri,0
curare moglie,0
figlie dovrebbero essere soffocate,1
figlie non dovrebbero essere accudite,1
mogli non dovrebbero essere difese,1
colpire signorine,1
ragazza eccezionale,0
ragazze orribili,1
ragazza non dovrebbe essere elogiata,1
lei meravigliosa,0
figlie dovrebbero essere omaggiate,0
signore eccellenti,0
zia ripugnante,1
signora non dovrebbe essere elogiata,1
proteggere moglie,0
ragazze non dovrebbero essere elogiate,1
sorella dovrebbe essere supportata,0
lei divina,0
abbracciare madre,0
amare figlie,0
sorella sgradita,1
spose dovrebbero essere torturate,1
soffocare sorella,1
figlie dovrebbero essere distrutte,1
madre non dovrebbe essere abbracciata,1
sterminare figlie,1
signorina sgradita,1
apprezzare lei,0
moglie dovrebbe essere assassinata,1
lei non dovrebbe essere apprezzata,1
ragazze magnifiche,0
massacrare figlie,1
mogli non dovrebbero essere curate,1
detestare sorelle,1
sorelle non dovrebbero essere rispettate,1
lei malvagia,1
colpire signorina,1
madri splendide,0
signorine sgradevoli,1
sposa dovrebbe essere stimata,0
ragazza dovrebbe essere soppressa,1
ragazza dovrebbe essere odiata,1
madre spregevole,1
zie dovrebbero essere massacrate,1
signorina dovrebbe essere torturata,1
madre orrida,1
accudire spose,0
signora meravigliosa,0
signorina orribile,1
figlia dovrebbe essere assassinata,1
ammirare madri,0
figlia non dovrebbe essere omaggiata,1
madre dovrebbe essere apprezzata,0
zia superiore,0
signore brillanti,0
signorina fenomenale,0
ragazza non dovrebbe essere rispettata,1
signore orribili,1
signora non dovrebbe essere distrutta,0
sorella dovrebbe essere ammirata,0
signorina inferiore,1
zia non dovrebbe essere ammirata,1
detestare madri,1
mogli dovrebbero essere soffocate,1
zia detestabile,1
uccidere zie,1
signora eccezionale,0
sorelle divine,0
zia dovrebbe essere elogiata,0
spose non dovrebbero essere uccise,0
sposa dovrebbe essere odiata,1
piacere sorelle,0
sorella non dovrebbe essere ammirata,1
figlie idiote,1
figlia dovrebbe essere elogiata,0
madri dovrebbero essere eliminate,1
figlie non dovrebbero essere eliminate,0
zia dovrebbe essere rispettata,0
distruggere figlia,1
signorine dovrebbero essere difese,0
detestare figlie,1
strangolare figlia,1
apprezzare sposa,0
ragazze non dovrebbero essere apprezzate,1
signora dovrebbe essere accudita,0
sterminare ragazze,1
signorina sgradevole,1
figlia dovrebbe essere stimata,0
sorella superba,0
figlie non dovrebbero essere omaggiate,1
lei non dovrebbe essere abbracciata,1
sorelle dovrebbero essere rispettate,0
spose dovrebbero essere amate,0
zie dovrebbero essere torturate,1
accudire signorine,0
signorine non dovrebbero essere massacrate,0
mogli terribili,1
figlia dovrebbe essere apprezzata,0
signora non dovrebbe essere accudita,1
spose perfette,0
zia dovrebbe essere accudita,0
ragazze dovrebbero essere distrutte,1
proteggere signore,0
sorella dovrebbe essere torturata,1
preservare spose,0
apprezzare ragazza,0
signora generosa,0
madre dovrebbe essere accudita,0
strangolare spose,1
ragazza fantastica,0
figlia perfetta,0
zie dovrebbero essere stimate,0
zia fantastica,0
lei dovrebbe essere strozzata,1
amare figlia,0
ragazza spregevole,1
uccidere ragazza,1
signore dovrebbero essere odiate,1
figlie meravigliose,0
sorelle non dovrebbero essere difese,1
picchiare zie,1
zia magnifica,0
moglie non dovrebbe essere supportata,1
signora dovrebbe essere massacrata,1
detestare spose,1
rispettare figlie,0
sorella dovrebbe essere stimata,0
sposa generosa,0
stimare figlie,0
soffocare mogli,1
curare lei,0
madre non dovrebbe essere amata,1
uccidere mogli,1
lei non dovrebbe essere assassinata,0
stimare spose,0
figlia dovrebbe essere difesa,0
figlie dovrebbero essere stimate,0
signora fantastica,0
ragazza idiota,1
signore non dovrebbero essere soffocate,0
moglie non dovrebbe essere accudita,1
apprezzare mogli,0
soffocare signorine,1
madri dovrebbero essere strangolate,1
signora perfetta,0
moglie detestabile,1
odiare figlie,1
apprezzare ragazze,0
madre dovrebbe essere stimata,0
mogli non dovrebbero essere torturate,0
madri stupide,1
distruggere spose,1
signorine dovrebbero essere eliminate,1
rispettare signorine,0
sposa dovrebbe essere eliminata,1
accudire signore,0
figlie perfette,0
signora dovrebbe essere uccisa,1
signore dovrebbero essere detestate,1
signorine dovrebbero essere strozzate,1
sorelle non dovrebbero essere massacrate,0
curare signorine,0
moglie superlativa,0
madre fantastica,0
signore splendide,0
zie non dovrebbero essere ammirate,1
ragazza non dovrebbe essere stimata,1
zie non dovrebbero essere rispettate,1
figlia brillante,0
signora dovrebbe essere abbracciata,0
ragazze generose,0
curare ragazza,0
proteggere zia,0
mogli favolose,0
figlia dovrebbe essere abbracciata,0
figlie favolose,0
figlie ripugnanti,1
mogli dovrebbero essere apprezzate,0
soffocare signore,1
figlia meravigliosa,0
zia splendida,0
lei scema,1
amare signore,0
stimare ragazza,0
sorelle dovrebbero essere curate,0
signorine nauseanti,1
mogli non dovrebbero essere assassinate,0
moglie dovrebbe essere soffocata,1
sterminare mogli,1
ragazza sublime,0
spose non dovrebbero essere odiate,0
signorine orribili,1
ragazza dovrebbe essere rispettata,0
odiare moglie,1
moglie ripugnante,1
spose ammirevoli,0
zia favolosa,0
sorella magnifica,0
ragazza dovrebbe essere supportata,0
lei detestabile,1
zia dovrebbe essere eliminata,1
figlia scema,1
apprezzare sorella,0
figlie non dovrebbero essere torturate,0
signorine non dovrebbero essere eliminate,0
madri ammirevoli,0
mogli non dovrebbero essere detestate,0
figlie sceme,1
moglie superba,0
ragazze sgradite,1
madre malvagia,1
moglie non dovrebbe essere curata,1
sorella dovrebbe essere uccisa,1
affogare madre,1
soffocare spose,1
signore divine,0
sterminare figlia,1
madre nauseante,1
madri dovrebbero essere detestate,1
figlia stupida,1
sterminare signorina,1
zia non dovrebbe essere eliminata,0
madre dovrebbe essere soppressa,1
spose brillanti,0
spose dovrebbero essere omaggiate,0
madre stupida,1
lei eccezionale,0
signora non dovrebbe essere massacrata,0
lei perfetta,0
madre dovrebbe essere rispettata,0
signore dovrebbero essere omaggiate,0
distruggere ragazza,1
spose non dovrebbero essere difese,1
signore non dovrebbero essere supportate,1
figlie non dovrebbero essere difese,1
signorina ripugnante,1
ragazza dovrebbe essere detestata,1
madre non dovrebbe essere distrutta,0
lei dovrebbe essere soffocata,1
sposa dovrebbe essere rispettata,0
signorine non dovrebbero essere difese,1
sorelle magnifiche,0
mogli dovrebbero essere detestate,1
signorina non dovrebbe essere detestata,0
spose non dovrebbero essere elogiate,1
distruggere sorelle,1
ragazze dovrebbero essere accudite,0
curare madri,0
madri meravigliose,0
sorella non dovrebbe essere assassinata,0
distruggere signorine,1
stimare signora,0
zie spregevoli,1
signorina non dovrebbe essere supportata,1
signora eccellente,0
ragazze dovrebbero essere curate,0
lei orribile,1
amare sposa,0
mogli dovrebbero essere odiate,1
lei non dovrebbe essere strangolata,0
ragazze dovrebbero essere supportate,0
signore non dovrebbero essere stimate,1
madri dovrebbero essere apprezzate,0
sorella dovrebbe essere assassinata,1
sposa dovrebbe essere soppressa,1
zie dovrebbero essere soppresse,1
zie non dovrebbero essere difese,1
sorelle non dovrebbero essere odiate,0
figlie non dovrebbero essere apprezzate,1
signorina superiore,0
lei non dovrebbe essere accudita,1
strangolare figlie,1
lei sublime,0
madri dovrebbero essere assassinate,1
figlia dovrebbe essere supportata,0
ragazza non dovrebbe essere curata,1
signora sgradevole,1
signorina superba,0
signorine idiote,1
figlia non dovrebbe essere strozzata,0
signore non dovrebbero essere assassinate,0
zie dovrebbero essere ammirate,0
spose divine,0
signorina non dovrebbe essere curata,1
signora orribile,1
sposa spregevole,1
ragazza dovrebbe essere ammirata,0
signore malvagie,1
lei non dovrebbe essere distrutta,0
madre repellente,1
figlie detestabili,1
madre dovrebbe essere detestata,1
signore non dovrebbero essere eliminate,0
affogare figlie,1
sorelle idiote,1
piacere figlie,0
signorina non dovrebbe essere soffocata,0
ammirare signora,0
signorina dovrebbe essere assassinata,1
figlie eccezionali,0
sorelle dovrebbero essere apprezzate,0
accudire sposa,0
madre superiore,0
figlia generosa,0
strangolare sposa,1
lei dovrebbe essere rispettata,0
sposa magnifica,0
zie fantastiche,0
ragazza generosa,0
piacere signorine,0
lei dovrebbe essere detestata,1
ragazze non dovrebbero essere strozzate,0
signore non dovrebbero essere odiate,0
lei ammirevole,0
signorine non dovrebbero essere ammirate,1
madri dovrebbero essere ammirate,0
zie eccezionali,0
figlia eccezionale,0
picchiare sposa,1
